brandnm,goodsnm,USER,reg_date,order_date,p_type,sub_type,app_yn
Molliolli,zebra print pattern turtle neck top multi,a147817,10/16/19,1/9/21,7days,T,Y
Louis Vuitton,alma epi pm tote bag black,a1141816,1/9/21,1/9/21,7days,BA,Y
It michaa,button tweed pattern A-Line shirt-dress black,a1129105,11/7/20,1/8/21,4days,D,
Max Mara,belt basic pattern wool coat brown,a1131911,11/20/20,1/8/21,4days,O,Y
SJSJ,ruffle detail belted dress black,a1141668,1/8/21,1/8/21,4days,D,Y
Amsale,one shoulder dress purple,a1139028,12/21/20,1/8/21,4days,D,Y
Imvely,basic pattern A-Line slip-dress black,a1139028,12/21/20,1/8/21,4days,D,Y
Chi Chi London,lace flower pattern A-Line dress deeppink,a1139028,12/21/20,1/8/21,4days,D,Y
Maje,graphics pattern dress pink,a1139028,12/21/20,1/8/21,4days,D,Y
Gucci,stripe pattern pointed cardigan,a1133588,11/27/20,1/8/21,7days,O,Y
Celine,drop shoulder boxy coat,a16928,8/15/18,1/8/21,7days,O,Y
Gucci,ophidia small black,a1141468,1/7/21,1/8/21,4days,BA,Y
Biker Starlet,classic two way bag black,a1140737,1/1/21,1/8/21,4days,BA,Y
Michaa,basic pattern A-Line knit-dress nude,a1140842,1/2/21,1/7/21,4days,D,Y
Thom Browne,basic pattern skirt grey,a1135222,12/4/20,1/7/21,4days,B,Y
Thom Browne,slit stripe pattern wool top grey,a1135222,12/4/20,1/7/21,4days,T,Y
Jill By Jill Stuart,flare detail double button coat,a1138599,12/20/20,1/7/21,4days,O,Y
Comme des Garcons,heart logo stripe shirts blue,a1135222,12/4/20,1/7/21,4days,T,Y
Nain,pocket basic pattern coat brown,a1104471,6/15/20,1/7/21,4days,O,Y
Louis Vuitton,monogram clutch brown,a1141530,1/7/21,1/7/21,7days,BA,Y
Gucci,GG pattern cross body bag beige,a1138438,12/20/20,1/7/21,7days,BA,Y
Gucci,marmont GG velvet bag purple,a1141394,1/6/21,1/7/21,7days,BA,Y
Reneevon,embroidery basic pattern A-Line dress black,a1141207,1/5/21,1/6/21,4days,D,Y
Dolce & Gabbana,puff sleeve flower pattern dress,a1110250,8/3/20,1/6/21,4days,D,Y
Molliolli,pocket basic pattern fur-outer grey,a1105400,6/21/20,1/6/21,4days,O,Y
Givenchy,givenchy obsedia medium bag,a199351,5/3/20,1/6/21,7days,BA,Y
Chanel,classic chain shoulder bag black,a1141379,1/6/21,1/6/21,7days,BA,Y
Gucci,dionysus cross bag2,a1134530,12/1/20,1/6/21,7days,BA,Y
Gucci,flap cross bag grey,a1139426,12/23/20,1/6/21,4days,BA,Y
